"As Of Date","Time Series","Value (millions)"
"2023-11-01","PDIDBSMGOC","-1"
"2023-11-01","PDIDBTIPS","5113"
"2023-11-01","PDIDBTIPSC","1336"
"2023-11-01","PDMBSTOT","214482"
"2023-11-01","PDMBSTOTC","-26619"
"2023-11-01","PDMGOTOT","11530"
"2023-11-01","PDMGOTOTC","-559"
"2023-11-01","PDPOSABS-ALB","3025"
"2023-11-01","PDPOSABS-ALBC","178"
"2023-11-01","PDPOSABS-CCB","416"
"2023-11-01","PDPOSABS-CCBC","-9"
"2023-11-01","PDPOSABS-OAB","3708"
"2023-11-01","PDPOSABS-OABC","40"
"2023-11-01","PDPOSABS-SLB","1534"
"2023-11-01","PDPOSABS-SLBC","37"
"2023-11-01","PDPOSABS-TOT","8683"
"2023-11-01","PDPOSABS-TOTC","246"
"2023-11-01","PDPOSCS-TOT","20011"
"2023-11-01","PDPOSCS-TOTC","2469"
"2023-11-01","PDPOSCSBND-BELG10","704"
"2023-11-01","PDPOSCSBND-BELG10C","69"
"2023-11-01","PDPOSCSBND-BELG13","996"
"2023-11-01","PDPOSCSBND-BELG13C","-320"
"2023-11-01","PDPOSCSBND-BELG5L10","-452"
"2023-11-01","PDPOSCSBND-BELG5L10C","-197"
"2023-11-01","PDPOSCSBND-BELL13","1118"
"2023-11-01","PDPOSCSBND-BELL13C","142"
"2023-11-01","PDPOSCSBND-G10","792"
"2023-11-01","PDPOSCSBND-G10C","-121"
"2023-11-01","PDPOSCSBND-G13","4313"
"2023-11-01","PDPOSCSBND-G13C","1377"
"2023-11-01","PDPOSCSBND-G5L10","199"
"2023-11-01","PDPOSCSBND-G5L10C","743"
"2023-11-01","PDPOSCSBND-L13","2604"
"2023-11-01","PDPOSCSBND-L13C","623"
"2023-11-01","PDPOSCSCP","9737"
"2023-11-01","PDPOSCSCPC","153"
"2023-11-01","PDPOSFGS-C","12347"
"2023-11-01","PDPOSFGS-CC","1671"
"2023-11-01","PDPOSFGS-DN","4357"
"2023-11-01","PDPOSFGS-DNC","2866"
"2023-11-01","PDPOSFGS-TOT","16704"
